Date,Cases
2020-09-29,24
2020-09-28,166
2020-09-27,196
2020-09-26,223
2020-09-25,276
2020-09-24,313
2020-09-23,276
2020-09-22,270
2020-09-21,297
2020-09-20,261
2020-09-19,252
2020-09-18,260
2020-09-17,243
2020-09-16,245
2020-09-15,206
2020-09-14,200
2020-09-13,123
2020-09-12,144
2020-09-11,222
2020-09-10,213
2020-09-09,262
2020-09-08,313
2020-09-07,350
2020-09-06,139
2020-09-05,171
2020-09-04,182
2020-09-03,239
2020-09-02,250
2020-09-01,152
2020-08-31,87
2020-08-30,61
2020-08-29,49
2020-08-28,96
2020-08-27,84
2020-08-26,91
2020-08-25,73
2020-08-24,83
2020-08-23,52
2020-08-22,49
2020-08-21,101
2020-08-20,100
2020-08-19,101
2020-08-18,77
2020-08-17,138
2020-08-16,58
2020-08-15,55
2020-08-14,87
2020-08-13,109
2020-08-12,119
2020-08-11,176
2020-08-10,209
2020-08-09,72
2020-08-08,73
2020-08-07,91
2020-08-06,113
2020-08-05,114
2020-08-04,88
2020-08-03,108
2020-08-02,54
2020-08-01,69
2020-07-31,75
2020-07-30,109
2020-07-29,108
2020-07-28,76
2020-07-27,92
2020-07-26,38
2020-07-25,44
2020-07-24,82
2020-07-23,94
2020-07-22,88
2020-07-21,68
2020-07-20,82
2020-07-19,48
2020-07-18,63
2020-07-17,80
2020-07-16,92
2020-07-15,113
2020-07-14,89
2020-07-13,105
2020-07-12,46
2020-07-11,94
2020-07-10,99
2020-07-09,95
2020-07-08,110
2020-07-07,108
2020-07-06,139
2020-07-05,127
2020-07-04,84
2020-07-03,107
2020-07-02,105
2020-07-01,120
2020-06-30,129
2020-06-29,129
2020-06-28,78
2020-06-27,87
2020-06-26,114
2020-06-25,126
2020-06-24,173
2020-06-23,171
2020-06-22,177
2020-06-21,131
2020-06-20,145
2020-06-19,153
2020-06-18,169
2020-06-17,164
2020-06-16,161
2020-06-15,165
2020-06-14,145
2020-06-13,133
2020-06-12,174
2020-06-11,182
2020-06-10,167
2020-06-09,177
2020-06-08,173
2020-06-07,128
2020-06-06,105
2020-06-05,153
2020-06-04,143
2020-06-03,171
2020-06-02,218
2020-06-01,217
2020-05-31,149
2020-05-30,139
2020-05-29,170
2020-05-28,191
2020-05-27,197
2020-05-26,160
2020-05-25,192
2020-05-24,145
2020-05-23,164
2020-05-22,240
2020-05-21,281
2020-05-20,274
2020-05-19,293
2020-05-18,271
2020-05-17,203
2020-05-16,257
2020-05-15,252
2020-05-14,226
2020-05-13,298
2020-05-12,321
2020-05-11,308
2020-05-10,198
2020-05-09,176
2020-05-08,268
2020-05-07,313
2020-05-06,334
2020-05-05,284
2020-05-04,235
2020-05-03,169
2020-05-02,198
2020-05-01,294
2020-04-30,294
2020-04-29,378
2020-04-28,272
2020-04-27,319
2020-04-26,242
2020-04-25,246
2020-04-24,299
2020-04-23,268
2020-04-22,334
2020-04-21,219
2020-04-20,187
2020-04-19,246
2020-04-18,195
2020-04-17,255
2020-04-16,267
2020-04-15,218
2020-04-14,210
2020-04-13,172
2020-04-12,214
2020-04-11,174
2020-04-10,173
2020-04-09,233
2020-04-08,188
2020-04-07,227
2020-04-06,215
2020-04-05,148
2020-04-04,189
2020-04-03,259
2020-04-02,213
2020-04-01,296
2020-03-31,277
2020-03-30,206
2020-03-29,129
2020-03-28,159
2020-03-27,137
2020-03-26,154
2020-03-25,116
2020-03-24,136
2020-03-23,117
2020-03-22,99
2020-03-21,69
2020-03-20,53
2020-03-19,66
2020-03-18,49
2020-03-17,33
2020-03-16,34
2020-03-15,26
2020-03-14,19
2020-03-13,22
2020-03-12,18
2020-03-11,25
2020-03-10,12
2020-03-09,10
2020-03-08,1
2020-03-07,5
2020-03-06,7
2020-03-05,3
2020-03-04,2
2020-03-03,7
2020-03-02,2
2020-03-01,1
2020-02-29,1
2020-02-28,1
2020-02-27,0
2020-02-26,0
2020-02-25,1
2020-02-24,0
2020-02-23,0
2020-02-22,0
2020-02-21,1
2020-09-29,6
2020-09-28,79
2020-09-27,158
2020-09-26,158
2020-09-25,197
2020-09-24,202
2020-09-23,178
2020-09-22,212
2020-09-21,175
2020-09-20,174
2020-09-19,144
2020-09-18,213
2020-09-17,146
2020-09-16,144
2020-09-15,144
2020-09-14,136
2020-09-13,60
2020-09-12,83
2020-09-11,128
2020-09-10,165
2020-09-09,125
2020-09-08,166
2020-09-07,158
2020-09-06,80
2020-09-05,95
2020-09-04,122
2020-09-03,149
2020-09-02,170
2020-09-01,122
2020-08-31,101
2020-08-30,88
2020-08-29,79
2020-08-28,101
2020-08-27,122
2020-08-26,93
2020-08-25,101
2020-08-24,102
2020-08-23,52
2020-08-22,50
2020-08-21,63
2020-08-20,82
2020-08-19,63
2020-08-18,59
2020-08-17,63
2020-08-16,27
2020-08-15,31
2020-08-14,67
2020-08-13,61
2020-08-12,66
2020-08-11,47
2020-08-10,67
2020-08-09,23
2020-08-08,44
2020-08-07,70
2020-08-06,44
2020-08-05,53
2020-08-04,56
2020-08-03,68
2020-08-02,36
2020-08-01,22
2020-07-31,31
2020-07-30,52
2020-07-29,66
2020-07-28,56
2020-07-27,65
2020-07-26,26
2020-07-25,28
2020-07-24,79
2020-07-23,51
2020-07-22,54
2020-07-21,66
2020-07-20,81
2020-07-19,21
2020-07-18,28
2020-07-17,51
2020-07-16,61
2020-07-15,55
2020-07-14,81
2020-07-13,64
2020-07-12,34
2020-07-11,42
2020-07-10,50
2020-07-09,55
2020-07-08,76
2020-07-07,39
2020-07-06,56
2020-07-05,36
2020-07-04,43
2020-07-03,60
2020-07-02,63
2020-07-01,39
2020-06-30,34
2020-06-29,49
2020-06-28,25
2020-06-27,20
2020-06-26,59
2020-06-25,39
2020-06-24,60
2020-06-23,44
2020-06-22,74
2020-06-21,57
2020-06-20,31
2020-06-19,74
2020-06-18,82
2020-06-17,77
2020-06-16,107
2020-06-15,113
2020-06-14,73
2020-06-13,89
2020-06-12,65
2020-06-11,71
2020-06-10,118
2020-06-09,130
2020-06-08,95
2020-06-07,46
2020-06-06,93
2020-06-05,109
2020-06-04,93
2020-06-03,123
2020-06-02,130
2020-06-01,138
2020-05-31,61
2020-05-30,83
2020-05-29,160
